,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Data Scope,Code,Name,Credit Points*,Unit Designation,Unit Type*,Prerequisites,Corequisites,NCCW,When Offered,On Campus Attendance,"Offering
Department",Pass/Fail,Co-taught Units,Co-located units,Quota,Placement in SONIA,Field Requiring Amendment*,New Entry,Comment,Faculty member proposing change
Undergraduate,ASTR170,Introductory Astronomy: Our Place in the Universe,3,Science,Planet,,,"PHYS270, PHYS277",S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,ASTR178,Other Worlds: Planets and Planetary Systems,3,Science,Planet,,com,PHYS178,"S2 Day
S2 External","
None",Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,ASTR278,Advanced Astronomy,3,Science,,PHYS201,,PHYS278,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,ASTR310,Frontiers of Astronomy and Astrophysics,3,Science,PACE,ASTR377,,,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,Yes,NCCW,PHYS310. PHTN310,,
Undergraduate,ASTR377,Astrophysics,3,Science,,MATH235 and PHYS201 and PHYS202,,PHYS377,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,ASTR378,General Relativity,3,Science,,PHYS301,,PHYS378,S2 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,,,,
Undergraduate,BIOL108,Human Biology,3,Science,Planet,,,,"S1 Day
S1 External","
None",Department of Biological Sciences,No,none,none,1000 (S1 Day only),No,,,,
Undergraduate,BIOL114,Organisms to Ecosystems,3,"Medical Sciences, Science",,,BIOL116 or admission to BEnv or BArch,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL115,Genes to Organisms,3,"Medical Sciences, Science",,,,,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL116,Biology in Practice,3,"Medical Sciences, Science",,,,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL122,Biological Basis of Behaviour,3,Science,Planet,,,BBE100,S2 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Undergraduate,BIOL188,Advanced Science (Biology) 1,3,Science,,Admission to BAdvSc and permission by special approval,,,FY1 Day,,Department of Biological Sciences,Yes,none,none,no quota,No,,,,
Undergraduate,BIOL206,Genetics,3,"Medical Sciences, Science",,BIOL115 and (BIOL114 or BIOL116 or BIOL108),STAT170 or STAT171,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,BIOL604,none,no quota,No,,,,
Undergraduate,BIOL227,Ecology,3,Science,,(15cp including [6cp from (BIOL114 or BIOL115 or BIOL116 or BIOL121)] or [3cp from (BIOL114 or BIOL115 or BIOL116 or BIOL121) and 3cp from (ENVE117 or ENVS117 or GEOS117)] and [3cp from (STAT170 or STAT171)]),,,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,BIOL601,none,no quota,No,,,,
Undergraduate,BIOL228,Organismal Biology,3,"Medical Sciences, Science",,(12cp at 100 level or above) including (BIOL114 and BIOL116),,"BIOL208, BIOL210
","S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,BIOL605,none,no quota,No,,,,
Undergraduate,BIOL229,Comparative Physiology,3,"Science, Medical Sciences",,"(12cp at 100 level or above) including BIOL116 and (BIOL114 or BIOL115)
",,"BIOL208, BIOL210
","S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,BIOL606,none,no quota,No,"When Offered

",S2 Day and S2 External,,Michelle Leishman HoD Biology
