Data Scope,Code,Name,Credit Points,Unit Designation,Unit Type,Prerequisites,Corequisites,NCCW,When Offered,On Campus Attendance,Staff Contact,Offering Department,Offering Faculty,FOE - Narrow,Pass/Fail,Co-taught Units,Quota,Unit Activity,ASQCNew,ASQCRecoded,WWCC,Status,Placement in SONIA,Authority,Capstone unit?,Awards/Majors
Undergraduate,ABEC240,Managing People,3,,,ABEP130,,ABMG240,TBD,,"Ms Sandra Cheeseman
",Department of Educational Studies,Faculty of Human Sciences,80303,No,none,no quota,no activity,No,No,,Green,No,,undefined,
Undergraduate,ABEC313,Early Development 2,3,,,Admission to BTeach(ECS) and 39cp at 100 level or above,,"ABEC311, ABEC312, ECH218, ECH228",S1 External,Compulsory,"Dr Helen Little
",Department of Educational Studies,Faculty of Human Sciences,70101,No,none,no quota,no activity,No,No,,Green,No,ASQC meeting held on 17 April 2012,No,
Undergraduate,ABEC314,ATSI Children and Health: Educational and Social Implications,3,,,(39cp at 100 level or above) including ABEC150,,ABEC350,TBD,," Department of Educational Studies staff 
",Department of Educational Studies,Faculty of Human Sciences,70101,No,none,no quota,no activity,No,No,,Green,No,ASQC meeting held on 17 April 2012,No,
Undergraduate,ABEP330,Program Planning in ATSI Contexts,3,,,(ABEC320 or ECH231) and ABEP230,,"ABEP331, ECHP323, ECHP324, ECHP327",S2 External,Compulsory,"Ms Sandra Cheeseman
",Department of Educational Studies,Faculty of Human Sciences,70101,No,none,no quota,no activity,No,No,,Green,Yes,,No,
Undergraduate,ABFS131,Introduction to Academic Numeracies,3,,,Admission to BTeach(ECS),,ABFS130,S2 External,Compulsory," Indigenous studies staff 
",Department of Indigenous Studies,Faculty of Arts,100700,No,none,no quota,no activity,No,No,,Green,No,,undefined,
Undergraduate,ABST100,Introducing Indigenous Australia,3,,People,,,ABSP100,"S1 Day
S1 External
S2 Day
S2 External","
None

None","Ms Corrinne Franklin
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,,,
Undergraduate,ABST101,Indigenous Australian Heroines and Heroes,3,,,,,,TBD,," Indigenous studies staff 
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,,
Undergraduate,ABST202,"Culture, Creation and Characters: Indigenous Australian Literature",3,,,12cp at 100 level or above,,,"S1 Day
S1 External","
None","Ms Jessa Rogers
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,No,
Undergraduate,ABST203,"Reel, Flash and Deadly: Indigenous People in Film and Television",3,,,"12cp at 100 level or above
",,,TBD,," Indigenous Studies staff 
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,No,
Undergraduate,ABST204,Indigenous Australian Health,3,,,"12cp at 100 level or above
",,,TBD,," Indigenous studies staff 
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Approved as per webforms 2015.,No,
Undergraduate,ABST205,Transformations in Indigenous Education,3,,,"12cp at 100 level or above
",,,TBD,," Indigenous studies staff 
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Approved as per webforms 2015.,No,
Undergraduate,ABST302,Indigenous Research Matters,6,,,"39cp at 100 level or above
",ANTH305 or EDUC388 or ENVG340 or LAW468 or GEOP340,,"S2 Day
S2 External","
None","Dr Alice Te Punga Somerville
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,Yes,Indigenous Studies major
Undergraduate,ABST303,"Dots, Dance and Drama",3,,,39cp at 100 level or above,,,TBD,," Indigenous studies staff 
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,No,
Undergraduate,ABST304,"Indigenous Politics, Policy and Activism",3,,,"39cp at 100 level or above
",,,TBD,," Indigenous Studies staff 
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,As per webforms 2015.,No,
Undergraduate,ACBE100,Academic Communication in Business and Economics,3,Commerce,People,,,"ACSC100, ACSH100, CAPP100, EAP100, WACB100, WACS100, WACH100","S1 Day
S2 Day","
","Dr Cassi Liardet
",Department of Linguistics,Faculty of Human Sciences,91521,No,none,no quota,no activity,No,No,,Green,No,alison.guerreiro@mq.edu.au,No,
Undergraduate,ACCG100,Accounting in Society,3,"Commerce, Engineering, Information Technology, Science",,,,"ACCG106, ARTS105, MMCS105, WACC100, WACC106","S1 Day
S1 Evening
S2 Day
S2 Evening","


"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG101,Accounting and Governance,3,Commerce,,ACCG100 or ACCG106,,,"S1 Day
S1 Evening
S2 Day
S2 Evening
S3 Day","



"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG200,Management Accounting,3,Commerce,,(15cp at 100 level or above) including (ACCG100 or ACCG106),,,"S1 Day
S1 Evening
S2 Day
S2 Evening
S3 Day","



"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,ACCG613,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG224,Financial Accounting and Reporting,3,Commerce,,ACCG101,,ACCG223,"S1 Day
S1 Evening
S2 Day
S2 Evening
S3 Day","



"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,ACCG612,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG250,Information Systems and Business Processes,3,"Commerce, Information Technology, Science",,(18cp at 100 level or above) including (ACCG100 or ACCG106),,ACCG251,"S1 Day
S1 Evening
S2 Day
S2 Evening","


"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG260,Measuring Sustainability,3,Commerce,Planet,"18cp at 100 level or above
",,,"S2 Evening
S2 External","
None"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG301,Organisational Planning and Control,3,Commerce,,(39cp at 100 level or above) including ACCG200,,ACCG201,"S1 Day
S1 Evening
S2 Day
S2 Evening","


"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG308,Corporate Accounting and Business Advisory,3,Commerce,,(39cp at 100 level or above) including ACCG224,,ACCG310,"S1 Day
S1 Evening
S2 Day
S2 Evening","


"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG315,Accountants in the Profession,3,Commerce,PACE,ACCG200 and ACCG224,,,"S1 Day
S1 Evening
S2 Day
S2 Evening","


","Associate Professor Rahat Munir
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80100,No,none,no quota,no activity,No,No,,Green,Yes,Approved by ASQC 15 June 2010,No,
Undergraduate,ACCG326,International Accounting,3,Commerce,,(39cp at 100 level or above) including ACCG224,,"ACCG323, ACCG325",S2 Evening,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80101,No,none,no quota,no activity,No,No,,Green,No,Academic Senate 30 March 2010,No,
Undergraduate,ACCG330,Strategic Management Accounting,3,Commerce,,(39cp at 100 level or above) including (ACCG201 or ACCG301),,,"S1 Day
S1 Evening","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80100,No,none,no quota,no activity,No,No,,Green,No,,No,
Undergraduate,ACCG340,Auditing and Assurance Services,3,Commerce,,(39cp at 100 level or above) including [(ACCG308 or ACCG310) and (ACCG250 or ACCG251)],,,"S1 Day
S1 Evening
S2 Day
S2 Evening
S3 Day","



"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Faculty of Business and Economics,80100,No,none,no quota,no activity,No,No,,Green,No,,No,
